Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Cafe A,Cafe A,North Point / International / Buffet / $201-400,$201-400,114,32,mediaItemThumbnail,38932868,12:00 - 14:3015:00 - 17:0018:30 - 22:00,https://www.openrice.com/en/hongkong/r-cafe-a-north-point-international-buffet-r661439
Dorsett Café,Dorsett Café,Kwai Chung / Western / Certified Halal Food / $101-200,$101-200,14,5,,39966338,07:00 - 23:00,https://www.openrice.com/en/hongkong/r-dorsett-cafe-kwai-chung-western-certified-halal-food-r165457
Di Heen,Di Heen,Kwai Chung / Guangdong / Dim Sum / $101-200,$101-200,1,0,N/A,26885882,N/A,https://www.openrice.com/en/hongkong/r-di-heen-kwai-chung-guangdong-dim-sum-r693140
