Name,Address,District,Cuisine Type,Restaurant Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
INN - I’m Not Nothing (裕民坊YM²),"Shop 205, 2/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,International,Coffee Shop,$101-200,931,21,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Black Coffee,"Shop 201, 2/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,International,Coffee Shop,$101-200,163,0,mediaItemThumbnail,27960083,10:00 - 20:00,https://www.openrice.com/en/hongkong/r-black-coffee-kwun-tong-international-r723753
Longevity Dan Dan Noodles,"Shop 302A, 3/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Jingchuanhu,Noodles/Rice Noodles,$51-100,190,3,mediaItemThumbnail,35911098,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-longevity-dan-dan-noodles-kwun-tong-jingchuanhu-noodles-rice-noodles-r723816
Sushi Tokumi (Yue Man Square),"Shop 310, 3/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Japanese,Sushi/Sashimi,$101-200,244,10,mediaItemThumbnail,27226588,12:00 - 16:0018:00 - 22:00,https://www.openrice.com/en/hongkong/r-sushi-tokumi-kwun-tong-japanese-sushi-sashimi-r705233
水門雞飯 (裕民坊YM²),"Shop 101, 1/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Thai,$51-100,N/A,89,0,N/A,28663881,N/A,https://www.openrice.com/en/hongkong/r-%E6%B0%B4%E9%96%80%E9%9B%9E%E9%A3%AF-kwun-tong-thai-r809547
Chicken Wings Mountain (Yue Man Square),"Shop G3, G/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Hong Kong Style,Snack Shop & Deli,$51-100,161,3,N/A,28120981,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-chicken-wings-mountain-kwun-tong-hong-kong-style-r705394
Chun Fun How (Yue Man Square),"Shop G2, G/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Taiwan,Taiwanese Drink,Below $50,40,1,N/A,26188883,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-chun-fun-how-kwun-tong-taiwan-taiwanese-drink-r705387
Plato Cafe & Bistro (裕民坊YM²),"Shop 309, 3/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Italian,Western,$101-200,150,1,mediaItemThumbnail,34262700,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-plato-cafe-bistro-kwun-tong-western-r856094
Twelve Flavors (Yue Man Square),"Shop 308, 3/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Sichuan,Stir-Fry,$101-200,87,9,N/A,97879060,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-twelve-flavors-kwun-tong-sichuan-r705219
Rasabali,"Shop 1B8-9, 1/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Thai,Singaporean,$51-100,24,0,N/A,N/A,12:00 - 20:30,https://www.openrice.com/en/hongkong/r-rasabali-kwun-tong-singaporean-r851449
Gyu-Kaku Buffet (Yue Man Square),"Shop 301, 3/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Japanese,Roast Meat,$201-400,21,2,"mediaItemThumbnail, ",26613790,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gyu-kaku-buffet-kwun-tong-japanese-all-you-can-eat-r705205
興發熟食,"Shop 1B11, Yue Man Lane, 1/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Hong Kong Style,Snack Shop & Deli,Below $50,17,1,mediaItemThumbnail,60838620,10:00 - 22:00,https://www.openrice.com/en/hongkong/r-%E8%88%88%E7%99%BC%E7%86%9F%E9%A3%9F-kwun-tong-hong-kong-style-r705338
BAI FUNG BENTO (Yue Man Square),"Shop 208-211, 2/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Taiwan,Taiwanese Drink,$51-100,16,7,,27712982,11:00 - 21:00,https://www.openrice.com/en/hongkong/r-bai-fung-bento-kwun-tong-taiwan-taiwanese-drink-r705268
永興豆漿王,"Shop 1B10, Yue Man Lane, 1/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Hong Kong Style,Snack Shop & Deli,Below $50,12,0,N/A,93196890,08:15 - 22:00,https://www.openrice.com/en/hongkong/r-%E6%B0%B8%E8%88%88%E8%B1%86%E6%BC%BF%E7%8E%8B-kwun-tong-hong-kong-style-r705331
Jollibean,"Shop UG1, UG/F, Yue Man Square, 33 Hip Wo Street",Kwun Tong,Singaporean,Dessert,Below $50,21,1,N/A,N/A,09:00 - 22:00,https://www.openrice.com/en/hongkong/r-jollibean-kwun-tong-singaporean-dessert-r882061
