Name,Address,District,Cuisine Type,Restaurant Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Tokyo Chikara Meshi,"Shop G8, G/F, THE FOREST, 17 Nelson Street, Mong Kok",Mong Kok,Japanese,$51-100,N/A,399,26,mediaItemThumbnail,28023308,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-tokyo-chikara-meshi-mong-kok-japanese-r705627
HeSheEat (THE FOREST),"Shop G6, G/F, THE FOREST, 17 Nelson Street, Mong Kok",Mong Kok,Western,Coffee Shop,$101-200,227,9,mediaItemThumbnail,23286933,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-hesheeat-mong-kok-western-r807467
白咖喱公司,"Shop G12, G/F, THE FOREST, 17 Nelson Street, Mong Kok",Mong Kok,Hong Kong Style,Food Wise Eateries,$51-100,19,2,,26716626,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-%E7%99%BD%E5%92%96%E5%96%B1%E5%85%AC%E5%8F%B8-mong-kok-hong-kong-style-r808817
Seoul Shiok,"Shop 110 ＆111, 1/F, THE FOREST, 17 Nelson Street, Mong Kok",Mong Kok,Korean,Korean Fried Chicken,$101-200,35,1,mediaItemThumbnail,35861959,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-seoul-shiok-mong-kok-korean-korean-bbq-r882844
Bigpack Cafe,"Shop 215, 2/F, THE FOREST, 17 Nelson Street, Mong Kok",Mong Kok,International,Pizza,$201-400,24,5,mediaItemThumbnail,23885408,11:00 - 23:00,https://www.openrice.com/en/hongkong/r-bigpack-cafe-mong-kok-international-salad-r556996
MOS Cafe,"Shop 207, 2/F, THE FOREST, 17 Nelson Street, Mong Kok",Mong Kok,Japanese,Hamburger,Below $50,25,6,N/A,31266744,11:00 - 21:30,https://www.openrice.com/en/hongkong/r-mos-cafe-mong-kok-japanese-hamburger-r542558
Paradise Classic,"Shop 415A, 4/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Guangdong,Singaporean,$101-200,166,8,mediaItemThumbnail,23223122,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-paradise-classic-tseung-kwan-o-singaporean-seafood-r768652
天后站清湯腩,"Shop 422, 4/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Hong Kong Style,Noodles/Rice Noodles,$51-100,128,6,,23456328,N/A,https://www.openrice.com/en/hongkong/r-%E5%A4%A9%E5%90%8E%E7%AB%99%E6%B8%85%E6%B9%AF%E8%85%A9-tseung-kwan-o-hong-kong-style-noodles-rice-noodles-r692324
A HAYA,"Shop 344, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Thai,$51-100,N/A,190,15,N/A,27996333,07:30 - 21:00,https://www.openrice.com/en/hongkong/r-a-haya-tseung-kwan-o-thai-r680832
All Day Coffee (The LOHAS康城),"Shop A01, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Western,Coffee Shop,Below $50,70,0,N/A,68029599,09:00 - 19:00,https://www.openrice.com/en/hongkong/r-all-day-coffee-tseung-kwan-o-western-r740271
Tommy Yummy (The LOHAS康城),"Shop 352A, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Thai,Dessert,$101-200,39,15,mediaItemThumbnail,22670199,11:30 - 22:30,https://www.openrice.com/en/hongkong/r-tommy-yummy-tseung-kwan-o-thai-ice-cream-yogurt-r827880
Milksha (The LOHAS),"Shop 303, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Taiwan,Taiwanese Drink,Below $50,26,2,mediaItemThumbnail,98808897,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-milksha-tseung-kwan-o-taiwan-taiwanese-drink-r687110
ASAM CHICKEN RICE (The LOHAS),"Shop 428, 4/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Singaporean,Malaysian,$51-100,32,3,N/A,23118089,11:00 - 21:30,https://www.openrice.com/en/hongkong/r-asam-chicken-rice-tseung-kwan-o-malaysian-r686868
Sportful Garden Restaurant,"Shop 418, 4/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Guangdong,Shanghai Hairy Crab,$201-400,52,18,,22170190,08:00 - 23:00,https://www.openrice.com/en/hongkong/r-sportful-garden-restaurant-tseung-kwan-o-guangdong-shanghai-hairy-crab-r682620
Kyoto Shokudo,"Shop 319, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Japanese,$101-200,N/A,16,3,mediaItemThumbnail,28186001,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-kyoto-shokudo-tseung-kwan-o-japanese-r858704
LUCULLUS CACAO (The LOHAS),"Shop 347, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Western,Cake,$101-200,28,0,mediaItemThumbnail,34816922,10:30 - 19:30,https://www.openrice.com/en/hongkong/r-lucullus-cacao-tseung-kwan-o-western-cake-r763637
THE ALCHEMIST CAFE (The LOHAS),"Shop 417, 4/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Western,Coffee Shop,$101-200,78,6,mediaItemThumbnail,23337011,08:30 - 22:00,https://www.openrice.com/en/hongkong/r-the-alchemist-cafe-tseung-kwan-o-western-r876763
TeaWood Taiwanese Cafe & Restaurant (The LOHAS),"Shop 310, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Taiwan,Dessert,$51-100,7,2,mediaItemThumbnail,23190068,07:30 - 22:00,https://www.openrice.com/en/hongkong/r-teawood-taiwanese-cafe-restaurant-tseung-kwan-o-taiwan-dessert-r823055
TAI HING (The LOHAS),"Shop 402, 4/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Hong Kong Style,Chinese BBQ,$51-100,7,2,N/A,28980203,08:00 - 21:30,https://www.openrice.com/en/hongkong/r-tai-hing-tseung-kwan-o-hong-kong-style-chinese-bbq-r681923
Pizza Hut,"Shop 203A, 2/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Italian,Pizza,$101-200,7,1,N/A,25470636,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-pizza-hut-tseung-kwan-o-italian-pizza-r679587
Modern Shanghai Imperial,"Shop 333, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",Tseung Kwan O,Shanghai,Huaiyang,$101-200,7,3,mediaItemThumbnail,28111957,11:30 - 17:0017:30 - 22:30,https://www.openrice.com/en/hongkong/r-modern-shanghai-imperial-tseung-kwan-o-shanghai-r865846
HUNG FOOK TONG,"Shop EXC 2, Exhibition Centre MTR Station, Wan Chai",Wan Chai,Guangdong,Herbal Tea,Below $50,0,0,N/A,N/A,11:00 - 20:00,https://www.openrice.com/en/hongkong/r-hung-fook-tong-wan-chai-guangdong-herbal-tea-r755017
Maison Eric Kayser (港鐵會展站),"Shop EXC 1, Exhibition Centre MTR Station, Wan Chai",Wan Chai,French,Bakery,$51-100,0,1,N/A,N/A,N/A,https://www.openrice.com/en/hongkong/r-maison-eric-kayser-wan-chai-french-bakery-r755003
JUEWEI,"Shop EXC 6, Exhibition Centre MTR Station, Wan Chai",Wan Chai,Hunan,Snack Shop & Deli,Below $50,0,1,N/A,28129108,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-juewei-wan-chai-hunan-r755010
hana-musubi,"Shop EXC 3, Exhibition Centre MTR Station, Wan Chai",Wan Chai,Japanese,Sushi/Sashimi,Below $50,0,0,N/A,28952206,07:00 - 22:00,https://www.openrice.com/en/hongkong/r-hana-musubi-wan-chai-japanese-sushi-sashimi-r754996
A-1 BAKERY,"Shop EXC 5, Exhibition Centre MTR Station, Wan Chai",Wan Chai,Western,Bakery,Below $50,0,0,N/A,23710310,07:00 - 21:30,https://www.openrice.com/en/hongkong/r-a-1-bakery-wan-chai-western-bakery-r754989
Cafe de Coral (U PLACE),"Shop G01, G/F, U PLACE, Artisan Garden, 68 Kowloon City Road, To Kwa Wan",To Kwa Wan,Hong Kong Style,Fast Food,$51-100,1,0,N/A,25981271,07:00 - 21:00,https://www.openrice.com/en/hongkong/r-cafe-de-coral-to-kwa-wan-hong-kong-style-r755600
Jade,"2/F, The Fullerton Ocean Park Hotel Hong Kong, 3 Ocean Drive, Wong Chuk Hang",Wong Chuk Hang,Guangdong,Seafood,$401-800,38,2,"mediaItemThumbnail, ",21667488,11:30 - 15:0018:00 - 22:00,https://www.openrice.com/en/hongkong/r-jade-wong-chuk-hang-guangdong-seafood-r762844
Lighthouse Lounge,"1/F, The Fullerton Ocean Park Hotel Hong Kong, 3 Ocean Drive, Wong Chuk Hang",Wong Chuk Hang,International,Coffee Shop,$201-400,26,0,"mediaItemThumbnail, ",21667477,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-lighthouse-lounge-wong-chuk-hang-international-r762830
Lighthouse Café,"1/F, The Fullerton Ocean Park Hotel Hong Kong, 3 Ocean Drive, Wong Chuk Hang",Wong Chuk Hang,Western,Buffet,$401-800,31,5,"mediaItemThumbnail, ",21667466,07:00 - 10:3012:00 - 14:3018:00 - 21:30,https://www.openrice.com/en/hongkong/r-lighthouse-cafe-wong-chuk-hang-western-buffet-r762837
Satay Inn,"2/F, The Fullerton Ocean Park Hotel Hong Kong, 3 Ocean Drive, Wong Chuk Hang",Wong Chuk Hang,Singaporean,Hotel Restaurant,$201-400,15,4,"mediaItemThumbnail, ",21667455,12:00 - 15:0018:00 - 22:00,https://www.openrice.com/en/hongkong/r-satay-inn-wong-chuk-hang-singaporean-r762858
Vivere,"11/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Italian,$201-400,N/A,369,2,mediaItemThumbnail,21866404,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-vivere-causeway-bay-italian-r784250
瀧宴日本料理,"26/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Japanese,Teppanyaki,$401-800,388,1,mediaItemThumbnail,35430099,12:00 - 15:3018:00 - 23:00,https://www.openrice.com/en/hongkong/r-%E7%80%A7%E5%AE%B4%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86-causeway-bay-japanese-teppanyaki-r771711
OOULI,"23/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Korean,Fine Dining,$401-800,311,15,mediaItemThumbnail,27708666,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-oouli-causeway-bay-korean-fine-dining-r768384
Iwanami Japanese Restaurant,"17/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Japanese,Sushi/Sashimi,$401-800,38,2,mediaItemThumbnail,25911159,N/A,https://www.openrice.com/en/hongkong/r-iwanami-japanese-restaurant-causeway-bay-japanese-omakase-r761247
肉多多火鍋,"3/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Taiwan,Hot Pot,$201-400,70,1,mediaItemThumbnail,29822118,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-causeway-bay-taiwan-hot-pot-r873975
Well-Lo Shunde Cuisine,"16/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Guangdong,Shunde,$201-400,25,10,mediaItemThumbnail,23833982,11:30 - 15:3018:00 - 22:00,https://www.openrice.com/en/hongkong/r-well-lo-shunde-cuisine-causeway-bay-guangdong-dim-sum-r755938
Kung Tak Lam Shanghai Vegetarian Cuisine (Sugar+),"20/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Shanghai,Vegetarian,$101-200,11,0,mediaItemThumbnail,28819966,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-kung-tak-lam-shanghai-vegetarian-cuisine-causeway-bay-shanghai-vegetarian-r793570
CHINGCHA,"15/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Taiwan,Below $50,N/A,0,0,N/A,53300390,11:00 - 16:00,https://www.openrice.com/en/hongkong/r-chingcha-causeway-bay-taiwan-r860621
Quik D by Pacific Coffee,"Shop 1B, G/F, Sugar+, 25-31 Sugar Street, Causeway Bay",Causeway Bay,Western,Sandwich,$51-100,0,0,N/A,51005438,09:00 - 19:00,https://www.openrice.com/en/hongkong/r-quik-d-by-pacific-coffee-causeway-bay-western-salad-r798732
Harbourside,"G/F, Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,International,Buffet,$401-800,65,9,mediaItemThumbnail,23132313,07:00 - 11:0012:00 - 15:0018:00 - 22:00,https://www.openrice.com/en/hongkong/r-harbourside-tsim-sha-tsui-international-buffet-r785467
"The Lobby Lounge, Regent Hong Kong","Lobby, Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,Western,Coffee Shop,$201-400,53,3,mediaItemThumbnail,23132313,10:00 - 00:00,https://www.openrice.com/en/hongkong/r-the-lobby-lounge-regent-hong-kong-tsim-sha-tsui-western-r783415
The Steak House,"G/F, The Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,British,Western,Above $801,36,3,mediaItemThumbnail,23132313,11:30 - 14:3018:00 - 23:00,https://www.openrice.com/en/hongkong/r-the-steak-house-tsim-sha-tsui-western-fine-dining-r783968
Lai Ching Heen,"G/F, The Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,Guangdong,Dim Sum,$401-800,16,2,mediaItemThumbnail,23132313,11:30 - 14:3018:00 - 22:00,https://www.openrice.com/en/hongkong/r-lai-ching-heen-tsim-sha-tsui-guangdong-dim-sum-r783301
Nobu,"2/F, Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Hotel Restaurant,Above $801,12,0,mediaItemThumbnail,23132313,18:00 - 23:00,https://www.openrice.com/en/hongkong/r-nobu-tsim-sha-tsui-japanese-r822029
Qura Bar,"Lobby, Regent Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,French,Western,$201-400,5,0,mediaItemThumbnail,23132313,17:30 - 00:00,https://www.openrice.com/en/hongkong/r-qura-bar-tsim-sha-tsui-western-wine-r839425
