Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Saizeriya Italian Restaurant (TKO Plaza),Saizeriya Italian Restaurant (TKO Plaza),Tseung Kwan O / Italian / Pizza / $51-100,$51-100,24,5,N/A,N/A,11:00 - 22:30,https://www.openrice.com/en/hongkong/r-saizeriya-italian-restaurant-tseung-kwan-o-italian-pizza-r447319
CHICKEN FACTORY (將軍澳廣場),CHICKEN FACTORY (將軍澳廣場),Tseung Kwan O / International / Salt & Sugar Reduction Restaurant / Below $50,Below $50,8,3,,23329227,11:00 - 21:00,https://www.openrice.com/en/hongkong/r-chicken-factory-tseung-kwan-o-international-r690871
Tamjai Yunnan Mixian (TKO Plaza),Tamjai Yunnan Mixian (TKO Plaza),Tseung Kwan O / Yunnan / Noodles/Rice Noodles / Below $50,Below $50,14,2,"mediaItemThumbnail, ",25986466,07:15 - 21:30,https://www.openrice.com/en/hongkong/r-tamjai-yunnan-mixian-tseung-kwan-o-yunnan-noodles-rice-noodles-r438538
Arome Bake + Drink (TKO Plaza),Arome Bake + Drink (TKO Plaza),Tseung Kwan O / Western / Bakery / Below $50,Below $50,44,7,N/A,35684475,08:00 - 21:30,https://www.openrice.com/en/hongkong/r-arome-bake-drink-tseung-kwan-o-western-bakery-r460569
SUSHIRO (TKO Plaza),SUSHIRO (TKO Plaza),Tseung Kwan O / Japanese / Sushi/Sashimi / $101-200,$101-200,5,2,mediaItemThumbnail,27788678,10:30 - 22:00,https://www.openrice.com/en/hongkong/r-sushiro-tseung-kwan-o-japanese-sushi-sashimi-r821311
HUNG KEE CONGEE (TKO Plaza),HUNG KEE CONGEE (TKO Plaza),Tseung Kwan O / Hong Kong Style / Congee / Below $50,Below $50,5,2,N/A,34890628,07:00 - 22:30,https://www.openrice.com/en/hongkong/r-hung-kee-congee-tseung-kwan-o-hong-kong-style-congee-r700449
Alva House,Alva House,Sha Tin / International / Buffet / $201-400,$201-400,134,22,mediaItemThumbnail,36531168,07:00 - 22:00,https://www.openrice.com/en/hongkong/r-alva-house-sha-tin-international-brunch-r648194
Mizutani,Mizutani,Sha Tin / Japanese / Omakase / Above $801,Above $801,98,5,mediaItemThumbnail,36531115,12:00 - 15:0018:00 - 22:00,https://www.openrice.com/en/hongkong/r-mizutani-sha-tin-japanese-omakase-r652209
Yat Heen,Yat Heen,Sha Tin / Guangdong / Hotel Restaurant / $201-400,$201-400,59,3,mediaItemThumbnail,36531112,11:00 - 23:00,https://www.openrice.com/en/hongkong/r-yat-heen-sha-tin-guangdong-r648187
PitStop,PitStop,Sha Tin / International / All Day Breakfast / Below $50,Below $50,8,1,N/A,36531168,10:00 - 22:00,https://www.openrice.com/en/hongkong/r-pitstop-sha-tin-international-organic-food-r649712
