Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Yakitori Takagi,Yakitori Takagi,Quarry Bay / Japanese / Robatayaki / $101-200,$101-200,2,1,"mediaItemThumbnail, ",31889394,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-yakitori-takagi-quarry-bay-japanese-robatayaki-r822936
Beef Station,Beef Station,Kwun Tong / Taiwan / Hot Pot / $201-400,$201-400,506,21,mediaItemThumbnail,36222688,12:00 - 16:0017:00 - 23:00,https://www.openrice.com/en/hongkong/r-beef-station-kwun-tong-taiwan-hot-pot-r777409
Deluxe Daieiki Japanese Restaurant,Deluxe Daieiki Japanese Restaurant,Kwun Tong / Japanese / All-you-can-eat / $201-400,$201-400,885,25,mediaItemThumbnail,31882628,12:00 - 15:0017:00 - 23:00,https://www.openrice.com/en/hongkong/r-deluxe-daieiki-japanese-restaurant-kwun-tong-japanese-all-you-can-eat-r512821
Grand Ding House,Grand Ding House,Kwun Tong / Sichuan / Hot Pot / $201-400,$201-400,784,27,mediaItemThumbnail,95270700 (WhatsApp),10:00 - 16:0017:30 - 23:45,https://www.openrice.com/en/hongkong/r-grand-ding-house-kwun-tong-sichuan-all-you-can-eat-r609767
Parallel,Parallel,Kwun Tong / French / Western / $201-400,$201-400,301,1,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",92329831,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-parallel-kwun-tong-western-r754301
The Flame Bar & Restaurant,The Flame Bar & Restaurant,Kwun Tong / Western / Wine / $101-200,$101-200,206,7,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",92329838,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-the-flame-bar-restaurant-kwun-tong-western-wine-r762457
Shabu SEN,Shabu SEN,Kwun Tong / Japanese / Hot Pot / $101-200,$101-200,159,14,N/A,27807028,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-shabu-sen-kwun-tong-japanese-hot-pot-r156831
Hon Wo Korean Restaurant,Hon Wo Korean Restaurant,Kwun Tong / Korean / Roast Meat / $101-200,$101-200,60,0,mediaItemThumbnail,31097428,11:30 - 16:0017:30 - 23:00,https://www.openrice.com/en/hongkong/r-hon-wo-korean-restaurant-kwun-tong-korean-roast-meat-r145614
Victoria Harbour Restaurant,Victoria Harbour Restaurant,Kwun Tong / Guangdong / Dim Sum Restaurant / $101-200,$101-200,24,6,N/A,39746128,08:00 - 22:30,https://www.openrice.com/en/hongkong/r-victoria-harbour-restaurant-kwun-tong-guangdong-r529775
Pepper Lunch (1亞太中心),Pepper Lunch (1亞太中心),Kwun Tong / Japanese / Food Court / $51-100,$51-100,39,4,N/A,23511142,11:00 - 21:30,https://www.openrice.com/en/hongkong/r-pepper-lunch-kwun-tong-japanese-r133985
薩莉亞意式餐廳 (1亞太中心),薩莉亞意式餐廳 (1亞太中心),Kwun Tong / Italian / Pizza / $51-100,$51-100,5,0,N/A,N/A,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-%E8%96%A9%E8%8E%89%E4%BA%9E%E6%84%8F%E5%BC%8F%E9%A4%90%E5%BB%B3-kwun-tong-italian-pizza-r782844
Neway Karaoke Box,Neway Karaoke Box,Kwun Tong / Hong Kong Style / Karaoke / $51-100,$51-100,5,0,N/A,21806988,09:30 - 06:00,https://www.openrice.com/en/hongkong/r-neway-karaoke-box-kwun-tong-hong-kong-style-r623889
THAI POT,THAI POT,Kwun Tong / Thai / Hot Pot / $201-400,$201-400,0,0,N/A,81183338,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-thai-pot-kwun-tong-thai-all-you-can-eat-r886996
URBAN Cafe (駱駝漆大廈第一座),URBAN Cafe (駱駝漆大廈第一座),Kwun Tong / International / Upper-floor Cafe / $101-200,$101-200,955,15,N/A,53073636 (WhatsApp),View Opening Hours,https://www.openrice.com/en/hongkong/r-urban-cafe-kwun-tong-international-r670898
雞駅花膠雞米線專門店,雞駅花膠雞米線專門店,Kwun Tong / Hong Kong Style / Noodles/Rice Noodles / $51-100,$51-100,295,20,mediaItemThumbnail,98493567,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-%E9%9B%9E%E9%A7%85%E8%8A%B1%E8%86%A0%E9%9B%9E%E7%B1%B3%E7%B7%9A%E5%B0%88%E9%96%80%E5%BA%97-kwun-tong-hong-kong-style-noodles-rice-noodles-r794773
Kuuraku,Kuuraku,Kwun Tong / Japanese / Hot Pot / $201-400,$201-400,330,4,mediaItemThumbnail,34279059,12:00 - 15:3018:00 - 22:00,https://www.openrice.com/en/hongkong/r-kuuraku-kwun-tong-japanese-hot-pot-r687045
五月星牛肉麵,五月星牛肉麵,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,340,13,"mediaItemThumbnail, ",34603839,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-%E4%BA%94%E6%9C%88%E6%98%9F%E7%89%9B%E8%82%89%E9%BA%B5-kwun-tong-taiwan-noodles-rice-noodles-r589125
Brother Chicken,Brother Chicken,Kwun Tong / Hong Kong Style / Noodles/Rice Noodles / $51-100,$51-100,135,5,mediaItemThumbnail,51292929,11:30 - 16:00,https://www.openrice.com/en/hongkong/r-brother-chicken-kwun-tong-hong-kong-style-noodles-rice-noodles-r713381
Boiledumplingss,Boiledumplingss,Kwun Tong / Hong Kong Style / Wonton/Dumpling / $51-100,$51-100,153,10,N/A,51754880,12:00 - 20:30,https://www.openrice.com/en/hongkong/r-boiledumplingss-kwun-tong-hong-kong-style-wonton-dumpling-r738352
Add Some Thai Restaurant,Add Some Thai Restaurant,Kwun Tong / Thai / Western / $101-200,$101-200,674,57,mediaItemThumbnail,27741008,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-add-some-thai-restaurant-kwun-tong-western-r531808
Katsuo Udon (Camel Paint Building Block 3),Katsuo Udon (Camel Paint Building Block 3),Kwun Tong / Japanese / Udon / $51-100,$51-100,204,12,mediaItemThumbnail,98246809,View Opening Hours,https://www.openrice.com/en/hongkong/r-katsuo-udon-kwun-tong-japanese-udon-r588337
The Cool Cousins Cafe & Noodle Bar,The Cool Cousins Cafe & Noodle Bar,Kwun Tong / Thai / American / $51-100,$51-100,170,9,mediaItemThumbnail,34254611,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-the-cool-cousins-cafe-noodle-bar-kwun-tong-american-hamburger-r623029
Day One Cafe (駱駝漆大廈第三座),Day One Cafe (駱駝漆大廈第三座),Kwun Tong / Western / All Day Breakfast / $51-100,$51-100,143,0,mediaItemThumbnail,36195722,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-day-one-cafe-kwun-tong-western-salad-r795855
BaBa Cue,BaBa Cue,Kwun Tong / International / All-you-can-eat / $201-400,$201-400,407,18,mediaItemThumbnail,54070689 (WhatsApp),17:00 - 23:00,https://www.openrice.com/en/hongkong/r-baba-cue-kwun-tong-international-all-you-can-eat-r755467
Holam Bakery,Holam Bakery,Kwun Tong / Western / Cake / Below $50,Below $50,172,14,mediaItemThumbnail,69312774,12:00 - 19:30,https://www.openrice.com/en/hongkong/r-holam-bakery-kwun-tong-western-cake-r536795
舌丼,舌丼,Kwun Tong / Japanese / BBQ / $101-200,$101-200,76,4,mediaItemThumbnail,21533993,12:00 - 15:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-%E8%88%8C%E4%B8%BC-kwun-tong-japanese-bbq-r791232
A Xing Fruit Tea & Rice Roll (Camel Paint Building Block 3),A Xing Fruit Tea & Rice Roll (Camel Paint Building Block 3),Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,93,2,mediaItemThumbnail,53621318,View Opening Hours,https://www.openrice.com/en/hongkong/r-a-xing-fruit-tea-rice-roll-kwun-tong-taiwan-taiwanese-drink-r783716
tomato 18 (Kwun Tong Industrial Centre Phase 4),tomato 18 (Kwun Tong Industrial Centre Phase 4),Kwun Tong / Hong Kong Style / Tea Restaurant / Below $50,Below $50,62,1,N/A,35681015,07:00 - 18:00,https://www.openrice.com/en/hongkong/r-tomato-18-kwun-tong-hong-kong-style-r739280
U-Banquet The Starview (Crocodile Center),U-Banquet The Starview (Crocodile Center),Kwun Tong / Guangdong / Dim Sum / $201-400,$201-400,417,14,mediaItemThumbnail,28119788,08:00 - 16:3018:00 - 23:00,https://www.openrice.com/en/hongkong/r-u-banquet-the-starview-kwun-tong-guangdong-dim-sum-r50256
Deluxe Daikiya Japanese Restaurant (Crocodile Center),Deluxe Daikiya Japanese Restaurant (Crocodile Center),Kwun Tong / Japanese / All-you-can-eat / $201-400,$201-400,702,11,mediaItemThumbnail,36222761,12:00 - 15:0017:00 - 23:00,https://www.openrice.com/en/hongkong/r-deluxe-daikiya-japanese-restaurant-kwun-tong-japanese-all-you-can-eat-r700244
Master Beef (Crocodile Center),Master Beef (Crocodile Center),Kwun Tong / Taiwan / Hot Pot / $201-400,$201-400,521,14,mediaItemThumbnail,39539370,12:00 - 16:0017:00 - 23:00,https://www.openrice.com/en/hongkong/r-master-beef-kwun-tong-taiwan-all-you-can-eat-r701116
Fortune Garden,Fortune Garden,Kwun Tong / Guangdong / Hong Kong Style / $101-200,$101-200,126,10,mediaItemThumbnail,27398323,08:00 - 15:3018:00 - 23:00,https://www.openrice.com/en/hongkong/r-fortune-garden-kwun-tong-hong-kong-style-r676267
The Graces Restaurant (Crocodile Center),The Graces Restaurant (Crocodile Center),Kwun Tong / Guangdong / Dim Sum / $101-200,$101-200,483,27,mediaItemThumbnail,26778637,07:00 - 16:0018:00 - 23:00,https://www.openrice.com/en/hongkong/r-the-graces-restaurant-kwun-tong-guangdong-dim-sum-r463419
Sushi Raku (Crocodile Center),Sushi Raku (Crocodile Center),Kwun Tong / Japanese / Sushi/Sashimi / $101-200,$101-200,91,9,mediaItemThumbnail,23661282,07:30 - 21:30,https://www.openrice.com/en/hongkong/r-sushi-raku-kwun-tong-japanese-sushi-sashimi-r750760
Hey Day Cuisine,Hey Day Cuisine,Kwun Tong / Guangdong / $101-200,$101-200,13,2,mediaItemThumbnail,28776238,07:30 - 23:00,https://www.openrice.com/en/hongkong/r-hey-day-cuisine-kwun-tong-guangdong-r795666
mixian sense (Crocodile Center),mixian sense (Crocodile Center),Kwun Tong / Yunnan / Sichuan / Below $50,Below $50,41,12,N/A,24680311,07:00 - 21:00,https://www.openrice.com/en/hongkong/r-mixian-sense-kwun-tong-sichuan-noodles-rice-noodles-r538865
Tao Heung Tea House (Crocodile Center),Tao Heung Tea House (Crocodile Center),Kwun Tong / Guangdong / Dim Sum / $101-200,$101-200,5,6,N/A,83008045,07:30 - 16:0017:30 - 23:00,https://www.openrice.com/en/hongkong/r-tao-heung-tea-house-kwun-tong-guangdong-dim-sum-r759074
TAI HING (Crocodile Center),TAI HING (Crocodile Center),Kwun Tong / Hong Kong Style / Chinese BBQ / $51-100,$51-100,14,6,", ",26980626,07:00 - 22:00,https://www.openrice.com/en/hongkong/r-tai-hing-kwun-tong-hong-kong-style-chinese-bbq-r532512
McDonald's,McDonald's,Kwun Tong / American / Hamburger / Below $50,Below $50,8,1,mediaItemThumbnail,23388646,06:00 - 00:00,https://www.openrice.com/en/hongkong/r-mcdonalds-kwun-tong-american-hamburger-r550706
ICHIJUISSAI (One Island South),ICHIJUISSAI (One Island South),Wong Chuk Hang / Japanese / Western / $51-100,$51-100,24,8,mediaItemThumbnail,36197600,11:30 - 20:30,https://www.openrice.com/en/hongkong/r-ichijuissai-wong-chuk-hang-western-soup-r792297
PizzaExpress (One Island South),PizzaExpress (One Island South),Wong Chuk Hang / Italian / Pizza / $101-200,$101-200,46,5,N/A,31641314,11:00 - 21:00,https://www.openrice.com/en/hongkong/r-pizzaexpress-wong-chuk-hang-italian-meatless-menu-r483675
LA FAMILLE,LA FAMILLE,Wong Chuk Hang / Japanese / Cake / $201-400,$201-400,8,0,N/A,34605272,10:00 - 20:00,https://www.openrice.com/en/hongkong/r-la-famille-wong-chuk-hang-japanese-cake-r797002
Beyond Taste HK,Beyond Taste HK,Wong Chuk Hang / Guangdong / Jingchuanhu / $101-200,$101-200,12,0,N/A,34269882,11:00 - 17:00,https://www.openrice.com/en/hongkong/r-beyond-taste-hk-wong-chuk-hang-jingchuanhu-r873546
STARBUCKS COFFEE,STARBUCKS COFFEE,Wong Chuk Hang / American / Coffee Shop / Below $50,Below $50,2,1,N/A,25180536,07:30 - 19:00,https://www.openrice.com/en/hongkong/r-starbucks-coffee-wong-chuk-hang-american-r106411
Cafe Whale,Cafe Whale,Sai Wan Ho / Japanese / Western / $51-100,$51-100,103,0,mediaItemThumbnail,52062586,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-cafe-whale-sai-wan-ho-western-seafood-r757255
小老板 (太安樓),小老板 (太安樓),Sai Wan Ho / Shanghai / Chinese Buns / Below $50,Below $50,98,2,N/A,39973306,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-%E5%B0%8F%E8%80%81%E6%9D%BF-sai-wan-ho-shanghai-chinese-buns-r704734
North Viet Pho,North Viet Pho,Sai Wan Ho / Vietnamese / Noodles/Rice Noodles / $51-100,$51-100,63,9,N/A,22034699,11:30 - 22:30,https://www.openrice.com/en/hongkong/r-north-viet-pho-sai-wan-ho-vietnamese-noodles-rice-noodles-r482787
Big Noah,Big Noah,Sai Wan Ho / Taiwan / Taiwanese Drink / Below $50,Below $50,48,1,mediaItemThumbnail,94484022,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-big-noah-sai-wan-ho-taiwan-taiwanese-drink-r872532
Meet Cute,Meet Cute,Sai Wan Ho / Taiwan / $51-100,$51-100,23,0,N/A,28193299,N/A,https://www.openrice.com/en/hongkong/r-meet-cute-sai-wan-ho-taiwan-r859525
魚蛋佬,魚蛋佬,Sai Wan Ho / Hong Kong Style / Snack Shop & Deli / Below $50,Below $50,62,8,N/A,N/A,18:00 - 00:00,https://www.openrice.com/en/hongkong/r-%E9%AD%9A%E8%9B%8B%E4%BD%AC-sai-wan-ho-hong-kong-style-r155639
top1takoyaki,top1takoyaki,Sai Wan Ho / Japanese / Robatayaki / Below $50,Below $50,30,2,N/A,95447356,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-top1takoyaki-sai-wan-ho-japanese-robatayaki-r746017
MALACCA CUISINE,MALACCA CUISINE,Sai Wan Ho / Singaporean / Malaysian / $51-100,$51-100,120,6,N/A,27898339,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-malacca-cuisine-sai-wan-ho-malaysian-r598449
金樺餅店,金樺餅店,Sai Wan Ho / Hong Kong Style / Bakery / Below $50,Below $50,27,1,N/A,31165753,05:30 - 20:30,https://www.openrice.com/en/hongkong/r-%E9%87%91%E6%A8%BA%E9%A4%85%E5%BA%97-sai-wan-ho-hong-kong-style-bakery-r19271
腸粉皇后,腸粉皇后,Sai Wan Ho / Hong Kong Style / Takeaway / Below $50,Below $50,18,6,N/A,55016266,N/A,https://www.openrice.com/en/hongkong/r-%E8%85%B8%E7%B2%89%E7%9A%87%E5%90%8E-sai-wan-ho-hong-kong-style-r831181
Lam Kee Cart Noodles,Lam Kee Cart Noodles,Sai Wan Ho / Hong Kong Style / Food Stall Noodles / Below $50,Below $50,44,4,N/A,25358829,12:00 - 23:4500:00 - 03:00,https://www.openrice.com/en/hongkong/r-lam-kee-cart-noodles-sai-wan-ho-hong-kong-style-food-stall-noodles-r37033
海南雞專門店,海南雞專門店,Sai Wan Ho / Singaporean / Below $50,Below $50,118,7,mediaItemThumbnail,N/A,Closed,https://www.openrice.com/en/hongkong/r-%E6%B5%B7%E5%8D%97%E9%9B%9E%E5%B0%88%E9%96%80%E5%BA%97-sai-wan-ho-singaporean-r97498
來來小吃店,來來小吃店,Sai Wan Ho / Taiwan / Taiwanese Drink / Below $50,Below $50,64,3,mediaItemThumbnail,N/A,19:00 - 23:00,https://www.openrice.com/en/hongkong/r-%E4%BE%86%E4%BE%86%E5%B0%8F%E5%90%83%E5%BA%97-sai-wan-ho-taiwan-taiwanese-drink-r457258
水門泰式海南雞飯專門店,水門泰式海南雞飯專門店,Sai Wan Ho / Thai / Fast Food / $51-100,$51-100,14,0,N/A,93800919,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-%E6%B0%B4%E9%96%80%E6%B3%B0%E5%BC%8F%E6%B5%B7%E5%8D%97%E9%9B%9E%E9%A3%AF%E5%B0%88%E9%96%80%E5%BA%97-sai-wan-ho-thai-r730997
太安樓牛雜,太安樓牛雜,Sai Wan Ho / Hong Kong Style / Snack Shop & Deli / Below $50,Below $50,23,4,N/A,N/A,12:00 - 00:00,https://www.openrice.com/en/hongkong/r-%E5%A4%AA%E5%AE%89%E6%A8%93%E7%89%9B%E9%9B%9C-sai-wan-ho-hong-kong-style-r523038
One Point Zero One,One Point Zero One,Kwun Tong / Taiwan / Salt & Sugar Reduction Restaurant / $51-100,$51-100,1085,10,"mediaItemThumbnail, ",53697868,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-one-point-zero-one-kwun-tong-taiwan-r713120
February,February,Kwun Tong / German / Western / $201-400,$201-400,423,17,mediaItemThumbnail,22371119,11:30 - 02:00,https://www.openrice.com/en/hongkong/r-february-kwun-tong-western-r486667
Dragon City Cafe,Dragon City Cafe,Kwun Tong / Hong Kong Style / Tea Restaurant / Below $50,Below $50,384,15,N/A,21111982,07:00 - 23:00,https://www.openrice.com/en/hongkong/r-dragon-city-cafe-kwun-tong-hong-kong-style-r512928
黑布小巷,黑布小巷,Kwun Tong / Hong Kong Style / Taiwan / Below $50,Below $50,17,0,N/A,N/A,11:30 - 17:0018:00 - 22:00,https://www.openrice.com/en/hongkong/r-%E9%BB%91%E5%B8%83%E5%B0%8F%E5%B7%B7-kwun-tong-hong-kong-style-sandwich-r881436
My Burger 中海日升中心,My Burger 中海日升中心,Kwun Tong / Western / American / $51-100,$51-100,17,1,N/A,37958678,11:00 - 16:00,https://www.openrice.com/en/hongkong/r-my-burger-kwun-tong-western-hamburger-r760417
Sweet On by Roger Luk,Sweet On by Roger Luk,Kwun Tong / International / Dessert / $51-100,$51-100,10,0,N/A,93458352 (WhatsApp),11:00 - 19:00,https://www.openrice.com/en/hongkong/r-sweet-on-by-roger-luk-kwun-tong-international-dessert-r763707
LEMON CAFE (COS Centre),LEMON CAFE (COS Centre),Kwun Tong / Hong Kong Style / Tea Restaurant / $51-100,$51-100,10,0,N/A,26382922,N/A,https://www.openrice.com/en/hongkong/r-lemon-cafe-kwun-tong-hong-kong-style-r882322
Nam Kee Spring Roll Noodle Co. Ltd (COS Centre),Nam Kee Spring Roll Noodle Co. Ltd (COS Centre),Kwun Tong / Hong Kong Style / Noodles/Rice Noodles / Below $50,Below $50,26,7,", ",25223733,07:30 - 21:00,https://www.openrice.com/en/hongkong/r-nam-kee-spring-roll-noodle-co-ltd-kwun-tong-hong-kong-style-noodles-rice-noodles-r548279
榮豐生滾湯飯,榮豐生滾湯飯,Kwun Tong / Guangdong / Hong Kong Style / $51-100,$51-100,7,2,N/A,27397239,11:00 - 20:30,https://www.openrice.com/en/hongkong/r-%E6%A6%AE%E8%B1%90%E7%94%9F%E6%BB%BE%E6%B9%AF%E9%A3%AF-kwun-tong-hong-kong-style-soup-r770783
McDonald's,McDonald's,Kwun Tong / American / Hamburger / Below $50,Below $50,1,0,N/A,N/A,N/A,https://www.openrice.com/en/hongkong/r-mcdonalds-kwun-tong-american-hamburger-r772268
shironeko.udon,shironeko.udon,Kwun Tong / Japanese / Udon / $51-100,$51-100,1,0,N/A,47037125,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-shironeko-udon-kwun-tong-japanese-udon-r889915
Fairwood (COS Centre),Fairwood (COS Centre),Kwun Tong / Hong Kong Style / Fast Food / $51-100,$51-100,0,0,N/A,N/A,N/A,https://www.openrice.com/en/hongkong/r-fairwood-kwun-tong-hong-kong-style-r765682
日升美食,日升美食,Kwun Tong / Hong Kong Style / Takeaway / Below $50,Below $50,0,0,N/A,N/A,09:00 - 16:00,https://www.openrice.com/en/hongkong/r-%E6%97%A5%E5%8D%87%E7%BE%8E%E9%A3%9F-kwun-tong-hong-kong-style-r874863
McCafe,McCafe,Kwun Tong / American / Bakery / Below $50,Below $50,0,0,N/A,N/A,N/A,https://www.openrice.com/en/hongkong/r-mccafe-kwun-tong-american-bakery-r773280
味力香港,味力香港,Kwun Tong / Guangdong / $51-100,$51-100,0,0,N/A,23501855,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-%E5%91%B3%E5%8A%9B%E9%A6%99%E6%B8%AF-kwun-tong-guangdong-r877369
Saizeriya Italian Restaurant (The Westwood),Saizeriya Italian Restaurant (The Westwood),Western District / Italian / Pizza / $51-100,$51-100,12,0,N/A,N/A,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-saizeriya-italian-restaurant-western-district-italian-pizza-r694364
Domon 居酒屋 (西寶城),Domon 居酒屋 (西寶城),Western District / Japanese / Ramen / $51-100,$51-100,15,10,N/A,63338783,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-domon-%E5%B1%85%E9%85%92%E5%B1%8B-western-district-japanese-ramen-r577086
Victoria Harbour Restaurant,Victoria Harbour Restaurant,Western District / Guangdong / Hot Pot / $101-200,$101-200,35,10,,28363282,08:00 - 22:30,https://www.openrice.com/en/hongkong/r-victoria-harbour-restaurant-western-district-guangdong-hot-pot-r48507
Saint's Alp Teahouse (The Westwood),Saint's Alp Teahouse (The Westwood),Western District / Taiwan / Taiwanese Drink / Below $50,Below $50,22,5,,25427096,11:00 - 21:00,https://www.openrice.com/en/hongkong/r-saints-alp-teahouse-western-district-taiwan-taiwanese-drink-r19160
Panash Bakery & Cafe (西寶城),Panash Bakery & Cafe (西寶城),Western District / Western / Bakery / $101-200,$101-200,28,17,N/A,25427630,11:30 - 20:15,https://www.openrice.com/en/hongkong/r-panash-bakery-cafe-western-district-western-bakery-r11716
McDonald's,McDonald's,Western District / American / Hamburger / Below $50,Below $50,5,1,N/A,25427361,07:00 - 22:00,https://www.openrice.com/en/hongkong/r-mcdonalds-western-district-american-hamburger-r23195
McCafe,McCafe,Western District / American / Bakery / Below $50,Below $50,0,0,N/A,25427361,N/A,https://www.openrice.com/en/hongkong/r-mccafe-western-district-american-bakery-r565206
Stecco Natura (The Westwood),Stecco Natura (The Westwood),Western District / Italian / Ice Cream/yogurt / Below $50,Below $50,0,0,N/A,28882881,10:00 - 19:30,https://www.openrice.com/en/hongkong/r-stecco-natura-western-district-italian-ice-cream-yogurt-r771205
BRICK LANE (中信大廈),BRICK LANE (中信大廈),Admiralty / British / Western / $101-200,$101-200,282,25,,23632500,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-brick-lane-admiralty-western-brunch-r151708
Mr Tomahawk Member of Louis Steak House,Mr Tomahawk Member of Louis Steak House,Admiralty / Western / Steak House / $201-400,$201-400,43,5,N/A,28101898,N/A,https://www.openrice.com/en/hongkong/r-mr-tomahawk-member-of-louis-steak-house-admiralty-western-r467649
Victoria City Restaurant,Victoria City Restaurant,Admiralty / Guangdong / Shanghai Hairy Crab / $201-400,$201-400,31,6,mediaItemThumbnail,28772211,11:00 - 16:0017:30 - 22:30,https://www.openrice.com/en/hongkong/r-victoria-city-restaurant-admiralty-guangdong-shanghai-hairy-crab-r607715
Arima Restaurant,Arima Restaurant,Admiralty / Japanese / Teppanyaki / $401-800,$401-800,17,6,N/A,25771050,11:30 - 15:0017:30 - 22:30,https://www.openrice.com/en/hongkong/r-arima-restaurant-admiralty-japanese-teppanyaki-r119195
Café de Coral (Citic Tower),Café de Coral (Citic Tower),Wan Chai / Hong Kong Style / Fast Food / $51-100,$51-100,3,1,"mediaItemThumbnail, ",21727351,08:00 - 16:00,https://www.openrice.com/en/hongkong/r-cafe-de-coral-wan-chai-hong-kong-style-r456617
ORIGINAL TASTE WORKSHOP,ORIGINAL TASTE WORKSHOP,Admiralty / Hong Kong Style / Soup / $51-100,$51-100,2,0,N/A,25688983,08:30 - 15:00,https://www.openrice.com/en/hongkong/r-original-taste-workshop-admiralty-hong-kong-style-soup-r479409
SUBWAY,SUBWAY,Admiralty / Western / Sandwich / $51-100,$51-100,0,0,N/A,21910500,08:00 - 18:00,https://www.openrice.com/en/hongkong/r-subway-admiralty-western-sandwich-r760093
Starbucks Coffee(Under Renovation),Starbucks Coffee(Under Renovation),Admiralty / American / Coffee Shop / Below $50,Below $50,1,0,N/A,29783933,N/A,https://www.openrice.com/en/hongkong/r-starbucks-coffee-admiralty-american-r87549
Seoulmate (MONTEREY Place),Seoulmate (MONTEREY Place),Tseung Kwan O / Korean / Pet Friendly / $101-200,$101-200,765,37,mediaItemThumbnail,25776338,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-seoulmate-tseung-kwan-o-korean-r693639
Chilli Lime (MONTEREY Place),Chilli Lime (MONTEREY Place),Tseung Kwan O / International / $101-200,$101-200,499,13,mediaItemThumbnail,22460055,11:00 - 23:00,https://www.openrice.com/en/hongkong/r-chilli-lime-tseung-kwan-o-international-r655263
The Pizza Pig,The Pizza Pig,Tseung Kwan O / Italian / Western / $101-200,$101-200,376,15,N/A,26119791,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-the-pizza-pig-tseung-kwan-o-western-pizza-r681184
DHYC Dimsum Restaurant,DHYC Dimsum Restaurant,Tseung Kwan O / Guangdong / Dim Sum / $101-200,$101-200,398,7,mediaItemThumbnail,31058114,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-dhyc-dimsum-restaurant-tseung-kwan-o-guangdong-dim-sum-r740560
Bistro La Baie,Bistro La Baie,Tseung Kwan O / French / Western / $201-400,$201-400,188,1,mediaItemThumbnail,23600801,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-bistro-la-baie-tseung-kwan-o-western-r798972
KOKA,KOKA,Tseung Kwan O / Sichuan / BBQ / $101-200,$101-200,508,18,mediaItemThumbnail,28612862,11:30 - 00:00,https://www.openrice.com/en/hongkong/r-koka-tseung-kwan-o-sichuan-bbq-r714689
La Rosabelle Bar & Grill,La Rosabelle Bar & Grill,Tseung Kwan O / Western / Wine / $201-400,$201-400,235,23,mediaItemThumbnail,28815933,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-la-rosabelle-bar-grill-tseung-kwan-o-western-wine-r661870
Duan Chun Zhen (MONTEREY Place),Duan Chun Zhen (MONTEREY Place),Tseung Kwan O / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,185,5,mediaItemThumbnail,34254620,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-duan-chun-zhen-tseung-kwan-o-taiwan-noodles-rice-noodles-r706867
番茄18,番茄18,Tseung Kwan O / Hong Kong Style / Below $50,Below $50,169,6,mediaItemThumbnail,39562459,08:00 - 21:00,https://www.openrice.com/en/hongkong/r-%E7%95%AA%E8%8C%8418-tseung-kwan-o-hong-kong-style-r674211
Coucou Hotpot‧Tea Break (MONTEREY Place),Coucou Hotpot‧Tea Break (MONTEREY Place),Tseung Kwan O / Taiwan / Hot Pot / $201-400,$201-400,83,7,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",24336168,11:00 - 00:00,https://www.openrice.com/en/hongkong/r-coucou-hotpot-tea-break-tseung-kwan-o-taiwan-hot-pot-r725504
Pici (CAPRI Place),Pici (CAPRI Place),Tseung Kwan O / Italian / Salad / $201-400,$201-400,59,1,mediaItemThumbnail,26339200,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-pici-tseung-kwan-o-italian-salad-r738170
